STREET ID,STREET,FROM,TO,PCI
2350,BOYCE AVENUE,FIFE AVENUE,SENECA STREET,96
2360,BOYCE AVENUE,SENECA STREET,GUINDA STREET,97
2370,BRET HARTE  STREET,EMBARCADERO  ROAD,SEALE AVENUE,93
2380,BRIARWOOD WAY,FERNE AVENUE,HEMLOCK COURT,97
2390,BRIARWOOD WAY,HEMLOCK COURT,SAN ANTONIO  AVENUE,96
2400,BRUCE DRIVE,MARSHALL DRIVE,LOUIS ROAD,87
2410,BRYANT STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,85
2420,BRYANT STREET,HAWTHORNE  AVENUE,BRYANT COURT,85
2425,BRYANT STREET,BRYANT COURT,EVERETT AVENUE,86
2430,BRYANT STREET,EVERETT AVENUE,LYTTON AVENUE,91
2440,BRYANT STREET,LYTTON AVENUE,UNIVERSITY  AVENUE,83
2450,BRYANT STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,79
2460,BRYANT STREET,HAMILTON AVENUE,FOREST AVENUE,52
2470,BRYANT STREET,FOREST AVENUE,HOMER AVENUE,92
2480,BRYANT STREET,HOMER AVENUE,CHANNING AVENUE,93
2490,BRYANT STREET,CHANNING AVENUE,ADDISON AVENUE,69
2500,BRYANT STREET,ADDISON AVENUE,LINCOLN AVENUE,81
2510,BRYANT STREET,LINCOLN AVENUE,KINGSLEY AVENUE,100
2520,BRYANT STREET,KINGSLEY AVENUE,EMBARCADERO  ROAD,83
2530,BRYANT STREET,EMBARCADERO  ROAD,KELLOGG AVENUE,92
2540,BRYANT STREET,KELLOGG AVENUE,CHURCHILL  AVENUE,91
2550,BRYANT STREET,CHURCHILL AVENUE,COLERIDGE  AVENUE,93
2560,BRYANT STREET,COLERIDGE AVENUE,LOWELL AVENUE,93
2570,BRYANT STREET,LOWELL AVENUE,TENNYSON AVENUE,93
2580,BRYANT STREET,TENNYSON AVENUE,SEALE AVENUE,92
2590,BRYANT STREET,SEALE AVENUE,RINCONADA  AVENUE,86
2600,BRYANT STREET,RINCONADA  AVENUE,SANTA RITA  AVENUE,87
2610,BRYANT STREET,SANTA RITA AVENUE,SANTA RITA  AVENUE,92
2620,BRYANT STREET,SANTA RITA AVENUE,WASHINGTON  AVENUE,84
2630,BRYANT STREET,WASHINGTON  AVENUE,NORTH CALIFORNIA  AVENUE,84
2640,BRYANT STREET,NORTH CALIFORNIA  AVENUE,OREGON  EXPRESSWAY,97
2650,BRYANT STREET,OREGON  EXPRESSWAY,COLORADO  AVENUE,92
2660,BRYANT STREET,COLORADO AVENUE,EL DORADO  AVENUE,91
2670,BRYANT STREET,EL DORADO AVENUE,MATADERO CREEK,87
2680,BRYANT STREET,MATADERO CREEK,EL CARMELO  AVENUE,91
2690,BRYANT STREET,EL CARMELO  AVENUE,LOMA VERDE  AVENUE,92
2700,BRYANT STREET,LOMA VERDE  AVENUE,EL VERANO  AVENUE,91
2720,BRYANT STREET,EL VERANO AVENUE,EAST MEADOW  DRIVE,86
2730,BRYANT STREET,EAST MEADOW  DRIVE,REDWOOD CIRCLE,92
2740,BRYSON AVENUE,MIDDLEFIELD ROAD,END,75
2750,BURNHAM WAY,OREGON  EXPRESSWAY,DENNIS DRIVE,83
2760,BURNHAM WAY,DENNIS DRIVE,CELIA DRIVE,69
2770,BYRON STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,67
2780,BYRON STREET,HAWTHORNE  AVENUE,EVERETT AVENUE,93
2790,BYRON STREET,EVERETT AVENUE,LYTTON AVENUE,93
2800,BYRON STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,92
2810,BYRON STREET,LINCOLN AVENUE,KINGSLEY AVENUE,97
2820,BYRON STREET,KINGSLEY AVENUE,MELVILLE AVENUE,97
2830,BYRON STREET,MELVILLE AVENUE,KELLOGG AVENUE,85
2840,BYRON STREET,KELLOGG AVENUE,EMBARCADERO  ROAD,87
2850,BYRON STREET,SEALE AVENUE,SANTA RITA  AVENUE,77
2860,BYRON STREET,SANTA RITA AVENUE,NORTH CALIFORNIA  AVENUE,76
2870,BYRON STREET,NORTH CALIFORNIA  AVENUE,OREGON  EXPRESSWAY,83
2880,BYRON STREET,COLORADO AVENUE,END,83
2890,BYRON STREET,SAN ANTONIO  AVENUE,END,82
2900,CALCATERRA  PLACE,MACKAY DRIVE,"END, WEST",97
2910,CALCATERRA  PLACE,MACKAY DRIVE,"END, EAST",97
2920,CALIFORNIA  AVENUE,AMHERST STREET,BOWDOIN STREET,98
2930,CALIFORNIA  AVENUE,BOWDOIN STREET,COLUMBIA STREET,98
2940,CALIFORNIA  AVENUE,COLUMBIA STREET,DARTMOUTH  STREET,98
2950,CALIFORNIA  AVENUE,DARTMOUTH  STREET,HANOVER STREET,82
2960,CALIFORNIA  AVENUE,HANOVER STREET,HARVARD STREET,80
2970,CALIFORNIA  AVENUE,HARVARD STREET,OBERLIN STREET,84
2980,CALIFORNIA  AVENUE,OBERLIN STREET,PRINCETON  STREET,86
2990,CALIFORNIA  AVENUE,PRINCETON STREET,CORNELL STREET,79
3000,CALIFORNIA  AVENUE,CORNELL STREET,WELLESLEY  STREET,79
3010,CALIFORNIA  AVENUE,WELLESLEY STREET,WILLIAMS STREET,87
3020,CALIFORNIA  AVENUE,WILLIAMS STREET,YALE STREET,88
3030,CALIFORNIA  AVENUE,YALE STREET,EL CAMINO REAL,91
3040,CALIFORNIA  AVENUE EB,EL CAMINO REAL,ASH STREET,91
3050,CALIFORNIA  AVENUE WB,ASH STREET,EL CAMINO REAL,91
3060,CALIFORNIA  AVENUE EB,ASH STREET,BIRCH STREET,91
3070,CALIFORNIA  AVENUE WB,BIRCH STREET,ASH STREET,91
3080,CALIFORNIA  AVENUE EB,BIRCH STREET,PARK BOULEVARD,91
3090,CALIFORNIA  AVENUE WB,PARK BOULEVARD,BIRCH STREET,91
3100,CALIFORNIA  AVENUE,PARK BOULEVARD,PARK BOULEVARD,91
3120,CALIFORNIA  AVENUE,PARK BOULEVARD,END,91
3140,NORTH  CALIFORNIA  AVENUE,ALMA STREET,HIGH STREET,96
3150,NORTH  CALIFORNIA  AVENUE,HIGH STREET,EMERSON STREET,96
3160,NORTH  CALIFORNIA  AVENUE,EMERSON STREET,RAMONA STREET,96
3170,NORTH  CALIFORNIA  AVENUE,RAMONA STREET,BRYANT STREET,96
3180,NORTH  CALIFORNIA  AVENUE,BRYANT STREET,SOUTH COURT,96
3190,NORTH  CALIFORNIA  AVENUE,SOUTH COURT,WAVERLEY STREET,96
3200,NORTH  CALIFORNIA  AVENUE,WAVERLEY STREET,COWPER STREET,96
3210,NORTH  CALIFORNIA  AVENUE,COWPER STREET,TASSO STREET,96
3220,NORTH  CALIFORNIA  AVENUE,TASSO STREET,WEBSTER STREET,96
3230,NORTH  CALIFORNIA  AVENUE,WEBSTER STREET,BYRON STREET,96
3240,NORTH  CALIFORNIA  AVENUE,BYRON STREET,MIDDLEFIELD ROAD,96
3250,NORTH  CALIFORNIA  AVENUE,MIDDLEFIELD ROAD,NEWELL ROAD,91
3260,NORTH  CALIFORNIA  AVENUE,NEWELL ROAD,BARBARA DRIVE,91
3270,NORTH  CALIFORNIA  AVENUE,BARBARA DRIVE,LOUIS ROAD,91
3280,NORTH  CALIFORNIA  AVENUE,LOUIS ROAD,BELLVIEW DRIVE,90
3290,NORTH  CALIFORNIA  AVENUE,BELLVIEW DRIVE,GREER ROAD,85
3300,NORTH  CALIFORNIA  AVENUE,GREER ROAD,SANTA ANA STREET,91
3310,NORTH  CALIFORNIA  AVENUE,SANTA ANA STREET,EMBARCADERO  ROAD,91
3320,CAMBRIDGE  AVENUE,YALE STREET,EL CAMINO REAL,53
3330,CAMBRIDGE  AVENUE,EL CAMINO REAL,BIRCH STREET,71
3340,CAMBRIDGE  AVENUE,BIRCH STREET,PARK BOULEVARD,64
3350,CAMPANA DRIVE,LOS ROBLES  AVENUE,ENCINA GRANDE  DRIVE,93
3360,CAMPANA DRIVE,ENCINA GRANDE  DRIVE,FLORALES DRIVE,93
3370,CAMPESINO  AVENUE,RAMONA STREET,BRYANT STREET,93
3380,CAMPESINO  AVENUE,BRYANT STREET,SOUTH COURT,92
3390,CAMPESINO  AVENUE,SOUTH COURT,WAVERLEY STREET,92
3400,CARDINAL WAY,INDIAN DRIVE,AZTEC WAY,81
3410,CARLITOS COURT,BARRON AVENUE,END,67
3420,CARLSON CIRCLE,CARLSON CIRCLE,CARLSON CIRCLE,92
3430,CARLSON CIRCLE,CARLSON CIRCLE,REDWOOD CIRCLE,83
3440,CARLSON CIRCLE,REDWOOD CIRCLE,E. CHARLESTON  ROAD,91
3450,CARLSON COURT,E. CHARLESTON  ROAD,ELY PLACE,82
3460,CARMEL DRIVE,OREGON  EXPRESSWAY,END,95
3470,CAROLINA LANE,PARK BOULEVARD,WILKIE WAY,82
3480,CAROLINA LANE,WILKIE WAY,END,89
3490,CASS WAY,BARRON AVENUE,END,78
3500,CASTILLEJA  AVENUE,CHURCHILL,MANZANITA,93
3510,CASTILLEJA  AVENUE,MANZANITA AVENUE,MIRAMONTE  AVENUE,97
3520,CASTILLEJA  AVENUE,MIRAMONTE  AVENUE,SEQUOIA AVENUE,98
3530,CASTILLEJA  AVENUE,SEQUOIA AVENUE,MARIPOSA AVENUE,93
3540,CASTILLEJA  AVENUE,MARIPOSA AVENUE,PARK BOULEVARD,93
3550,CEDAR STREET,HOPKINS AVENUE,PARKINSON  AVENUE,75
3560,CEDAR STREET,PARKINSON AVENUE,HARKER AVENUE,51
3570,CELIA DRIVE,AGNES WAY,BURNHAM WAY,88
3580,CENTER DRIVE,CHANNING AVENUE,KENT PLACE,84
3590,CENTER DRIVE,KENT PLACE,TEVIS PLACE,84
3600,CENTER DRIVE,TEVIS PLACE,MARTIN AVENUE,87
3610,CENTER DRIVE,MARTIN AVENUE,PITMAN AVENUE,85
3620,CENTER DRIVE,PITMAN AVENUE,FOREST AVENUE,88
3630,CENTER DRIVE,FOREST AVENUE,DANA AVENUE,78
3640,CENTER DRIVE,DANA AVENUE,HAMILTON AVENUE,81
3650,CENTER DRIVE,HAMILTON AVENUE,UNIVERSITY  AVENUE,71
3660,CEREZA DRIVE,AMARANTA AVENUE,SOLANA DRIVE,56
3670,CERRITO WAY,LOS ROBLES  AVENUE,EL CERRITO ROAD,93
3675,CESANO COURT,EL CAMINO REAL,END,98
3680,CHABOT TERRACE,W. BAYSHORE ROAD,END,97
3690,CHANNING AVENUE,ALMA STREET,HIGH STREET,86
3700,CHANNING AVENUE,HIGH STREET,EMERSON STREET,86
3710,CHANNING AVENUE,EMERSON STREET,RAMONA STREET,91
3720,CHANNING AVENUE,RAMONA STREET,BRYANT STREET,84
3730,CHANNING AVENUE,BRYANT STREET,WAVERLEY STREET,89
3740,CHANNING AVENUE,WAVERLEY STREET,KIPLING STREET,91
3750,CHANNING AVENUE,KIPLING STREET,COWPER STREET,91
3760,CHANNING AVENUE,COWPER STREET,WEBSTER STREET,91
3770,CHANNING AVENUE,WEBSTER STREET,MIDDLEFIELD ROAD,49
3780,CHANNING AVENUE,MIDDLEFIELD ROAD,GUINDA STREET,43
3790,CHANNING AVENUE,GUINDA STREET,ADDISON AVENUE,91
3800,CHANNING AVENUE,ADDISON AVENUE,LINCOLN AVENUE,91
3810,CHANNING AVENUE,LINCOLN AVENUE,MELVILLE AVENUE,91
3820,CHANNING AVENUE,MELVILLE AVENUE,HARRIET AVENUE,91
3830,CHANNING AVENUE,HARRIET AVENUE,CENTER DRIVE,91
3840,CHANNING AVENUE,CENTER DRIVE,HUTCHINSON  AVENUE,91
3850,CHANNING AVENUE,HUTCHINSON  AVENUE,SHARON COURT,91
3860,CHANNING AVENUE,SHARON COURT,NEWELL ROAD,91
3870,CHANNING AVENUE,NEWELL ROAD,DE SOTO DRIVE,91
3880,CHANNING AVENUE,DE SOTO DRIVE,STANLEY WAY,91
3890,CHANNING AVENUE,STANLEY WAY,ALESTER AVENUE,91
